sensor_index,latitude,longitude,confidence,pm2.5_atm,pm25_corrected,lat_round,lon_round
161101,38.633472,-121.43821,100,6.4,4.788,38.63,-121.44
161181,38.580894,-121.459526,100,5.7,4.424,38.58,-121.46
161643,38.611473,-121.53756,100,6.0,4.58,38.61,-121.54
165115,38.627586,-121.528244,100,5.0,4.0600000000000005,38.63,-121.53
166137,38.62429,-121.5024,100,5.1,4.112,38.62,-121.5
167387,38.5369,-121.55606,100,6.2,4.684,38.54,-121.56
169745,38.642754,-121.30725,100,4.9,4.008000000000001,38.64,-121.31
172815,38.651558,-121.55351,100,4.1,3.5919999999999996,38.65,-121.55
173175,38.54464,-121.500465,100,6.5,4.84,38.54,-121.5
173887,38.646465,-121.437935,100,7.0,5.1,38.65,-121.44
173893,38.55054,-121.45949,100,7.1,5.151999999999999,38.55,-121.46
173899,38.58147,-121.47602,100,5.4,4.268000000000001,38.58,-121.48
173905,38.560654,-121.469444,100,5.8,4.476,38.56,-121.47
173911,38.611965,-121.4604,100,7.0,5.1,38.61,-121.46
173913,38.53948,-121.489845,100,8.6,5.9319999999999995,38.54,-121.49
173923,38.557693,-121.471016,100,7.7,5.464,38.56,-121.47
174017,38.601383,-121.46379,100,3.8,3.436,38.6,-121.46
174021,38.548275,-121.43821,100,8.2,5.723999999999999,38.55,-121.44
174031,38.584156,-121.453735,100,6.0,4.58,38.58,-121.45
174039,38.584755,-121.453415,100,6.6,4.8919999999999995,38.58,-121.45
174041,38.47452,-121.497986,100,5.9,4.5280000000000005,38.47,-121.5
174047,38.640884,-121.433815,100,9.0,6.14,38.64,-121.43
174055,38.538647,-121.46456,100,7.0,5.1,38.54,-121.46
174061,38.501804,-121.48695,100,7.0,5.1,38.5,-121.49
174065,38.613106,-121.44373,100,5.9,4.5280000000000005,38.61,-121.44
174087,38.632133,-121.442635,100,6.9,5.048,38.63,-121.44
174085,38.63742,-121.450584,100,8.9,6.088,38.64,-121.45
174241,38.645832,-121.43645,100,6.7,4.944000000000001,38.65,-121.44
174329,38.535633,-121.43549,100,6.5,4.84,38.54,-121.44
175143,38.545406,-121.46056,100,7.9,5.5680000000000005,38.55,-121.46
175153,38.545444,-121.42914,100,8.0,5.62,38.55,-121.43
175157,38.46455,-121.46021,96,8.2,5.723999999999999,38.46,-121.46
175163,38.550976,-121.438934,100,6.5,4.84,38.55,-121.44
175165,38.620865,-121.50752,100,3.6,3.332,38.62,-121.51
175169,38.536163,-121.440994,100,7.1,5.151999999999999,38.54,-121.44
175175,38.530777,-121.43577,100,7.9,5.5680000000000005,38.53,-121.44
175183,38.470947,-121.46026,100,2.4,2.708,38.47,-121.46
175187,38.53468,-121.44534,100,6.5,4.84,38.53,-121.45
175203,38.62807,-121.432816,100,6.4,4.788,38.63,-121.43
175201,38.62638,-121.42826,100,8.7,5.984,38.63,-121.43
175211,38.543865,-121.471565,100,7.9,5.5680000000000005,38.54,-121.47
183075,38.543087,-121.27343,100,4.8,3.956,38.54,-121.27
183611,38.573475,-121.2721,100,4.9,4.008000000000001,38.57,-121.27
186955,38.595177,-121.307205,100,6.2,4.684,38.6,-121.31
191229,38.466583,-121.32082,100,6.2,4.684,38.47,-121.32
195847,38.736298,-121.25309,100,5.6,4.372,38.74,-121.25
201967,38.7487,-121.28467,100,3.9,3.488,38.75,-121.28
208413,38.642403,-121.320656,100,6.4,4.788,38.64,-121.32
219609,38.53293,-121.483925,100,6.1,4.632,38.53,-121.48
231927,38.67034,-121.286964,100,5.7,4.424,38.67,-121.29
233593,38.60223,-121.38936,100,6.3,4.736,38.6,-121.39
237271,38.553497,-121.50486,100,4.7,3.9040000000000004,38.55,-121.5
248033,38.54928,-121.486305,100,7.5,5.36,38.55,-121.49
